feature,importance
body_height_change,0.20681830986125369
vertical_drop,0.1359926986585089
body_height_range,0.10554249778024846
vertical_range,0.07497330833651865
center_acceleration_mean,0.07238333657334767
mean_joint_speed,0.06672657400008829
torso_angle_std,0.044219291644908454
torso_angle_max,0.03455078919189362
center_speed_mean,0.0330823295364209
torso_angle_mean,0.03307921220218407
std_joint_speed,0.02987283361637357
instability_score,0.027606164414434416
center_speed_std,0.026396113734687806
center_acceleration_std,0.024322762312583474
center_speed_max,0.0228922642394419
sudden_vertical_change,0.022312498892703803
max_joint_speed,0.021545578443707438
center_acceleration_max,0.01768343656069483
